tweet_text,label
لنفترض جدلا ان لا اضرار صحية و بيئية سينتج عن بناء مفاعلات نووية سلمية ، دعونا نفكر في الكلفة من حيث اولا: كلفة بناء عالية جدا لعدم امتلاكنا لهذه التكنولوجيا على شكل ديون تثفل كاهل العشر اجيال القادمة، ثانيا: لنفس السبب سنستورد خبراء للتشغيل لسنوات طويلة مما يزيد كلفة الطاقة و ليس العكس ناهيك عن حصول اي اخطاء مفترضة مستقبلا ثالثا: اين هو المكان البعيد عن المدن في الاردن واين مصدر المياه الكافية للتبريد رابعا:من حق المواطنين و اصحاب القرار الحصول على تقرير منشور للاثر البيئي مسبقا. بنفس الوقت نستطيع الحصول على نفس كمية الطاقة من الصخر الزيتي الذي نمتلك منه احتياطي هائل و من الغاز الطبيعي المؤمل مستقبلا و من الطاقة الشمسية و من طاقة الرياح بكلف نسبيا اقل بكثير من النووي دون اعباء ديون اضافية.,-1.0
يا الله استجب دعائي ياالله مادكيت بابك يوم ورحعتني خالية الوفاض,1.0
حلوه قوي يا د.عمرو و لو كل واحد تيقن من هذه القصه لن يوجد حاسد و لا ظالم و لا متواكل اللهم ارزقنا رزقا حلال طيبا اللهم آمين,1.0
 لا حول ولا قوة اللا بالله العظيم ،لم أكن أعلم ان نسبة ذكاء العرب منخفضه جدا الى هذا الحد,-1.0
الله ينتقم منهم اجمعين اللي في بالي,-1.0
قرف يعيع,-1.0
اللهم إجعلنا منهم,1.0
 يعني يجبون كم واحد يعطونهم فلوس ويجون يستهبلوا عندهم عشان يحركون البرنامج,-1.0
رجعتولنا الفرحة اللي نسيناها,1.0
 كل النسخ العربية والجنبيى كله تمثيل في تمثيل مسخره وعقول تاقهة,-1.0
رائعة الحَرف نَقية المَعنى,-1.0
احنا ما بدنا اياه لانا ما منفهم المفاعل النووي فوق طاقتنا صعب علينا و بكرة بذكركم و سألوا الباص السريع الثقة معدومة ... القمح فاسد المصفاه مش حسب المواصفات الخضار والفواكه مواد كيماوية شوارع مش مصانة حفر ومطبات ....الخ الافضل استغلال الطاقة الشمسية او الريح او الماء.. ليس هروب من التطور وانما الابتعاد عن الفشل الأكيد عبر التجارب .,-1.0
 بالله يا شباب وش رايكم بالاشكال هذه هل تتوقعون اهلهم كارهينهم والناس تجي لاهاليهم وتقول لهم حرام عليكم هذول من دمكم ,-1.0
هههههههههههههههههههههههههههههه­ههههه بكفي القعدة تبعته,-1.0
ارجوك يا استاذنا الفاضل ادعيلي بالنجاح في مسابقة المجستير العام القادم والشفاء بارك الله فيك,1.0
هذا لا يعني خلوها من الاشكال المصدية ,-1.0
"الحمدلله في خضم تفوق امريكا بمجال الطاقة النووية و سعيها للتخلص من نفط العرب , و استخدامها الطاقة النووية في الفضاء : نحن نجمع التواقيع لرفضها :))",-1.0
الله لا يشبعكو يا ظلمة انشاء الله كلو بتلقو بالاخرة يا ظلمة ..... خافو الله طبعا اذا بتعرفو ل الله.,-1.0
 والله خبل ,-1.0
الله يفرح الكل ويجمع بين المتحابين على خير,1.0
و بلبل شادى بفنه,1.0
ليش الطلاب فاضين يعملو مشاكل فاضين للدراسه يعني ما عندهم وقت فراغ للمشاكل,-1.0
الخشوع إحساس جميل جد أمام الله القلب يحب و الدمع صافي و متعه و بعد الصلاة راحه فائقه أتمنى لكل المسلمين هذا الخشوع,1.0
الله يسامحك حبيبتي افهمتيني غلط,-1.0
بتقول كلام دي الفل,1.0
عيب والله اسم المقطع,-1.0
ارضى عني يا رب,1.0
 تخسا هما وكل واحد بشد عأيدهم مشكلتو شعب سوري يدعون البراءه وهم في قمة النذاله,-1.0
"الاردن فيه طاقة شمسية بتغنينا عن استخدام المفاعلات ،،، تخيلو معي الطريق بين عمان و العقبة كلها ارض فاضية و صحرا منقدر نستغلها في بناء خلايا شمسية ،،،، احنا مش ضد انا نتطور و لكن الدول ""المتطورة"" عم بتخلو عن الطاقة النووية اللي رافقها مشاكل صحية و بيئية عديدة و عم بسبتدلوها بالطاقة المتجددة ،،، طاقة نظيفة و غير مكلفة",-1.0
تنظرون لا الشام يقتلون بدم بارد .,-1.0
ماشي هسا انا صرت ولة طيب في حدا بيشبهك كتتير,-1.0
الله يهدي التائهين والضالين الى طريقه,1.0
أسوء شيء ان تكذب لأنك ستبدأ سلسلة لا نهاية لها من الأكاذيب و في النهاية ستكشف,1.0
اللهم استرنا وجميع بنات المسلمين,1.0
يع يع يع قرف,-1.0
 و نجدد قلبنا بالإيمان مع بعض ,1.0
ونعم الصديق,1.0
كلامك في غاية الجديه صحيح,-1.0
من كانت له عزيمة لن ييأس ، ومن ابتغى الأجر من الله ثابر، حياكم الله اخي مؤمن,1.0
منك لله و بس,-1.0
 ﻋﺎﻫﺎﺗﻚ ﻳﺎ ﻭﻃﻨﻲ,-1.0
نهايه مواطن طفران,-1.0
 هذا عدا عن عنصريتكم البغيضة وجلافتكم وعنجهيتكم الفارغة مع بقية الشعوب. ,-1.0
انتو كلاب ازى تسو المصحف بى كلابه زى ده,-1.0
ربنا يثبته,1.0
 اشي بقهر مش لا هل درجه,-1.0
 سمآإجةة تآإيمم,-1.0
اللهم ارفع ظغط فايز الطراونه,-1.0
كلماتك عذبة,1.0
اللهم ان كان رزقي بعيدا فقربه لي و ان كان قريبا فيسره لي وان كان كثيرا فبارك لي فيه,1.0
مطلوب نصيحه منك لكي نستحضر الخشوع,1.0
 من يستمتع برؤية الناس في مواقف محرجة فهو سادي و غير اصيل و نفسه ضعيفة و مريضة,-1.0
اذا استعنت بالله وتوكلت عليه ونيتك كانت صادقة ..سوف يقف الله بجوارك...ولن يخزلك ابدا ..♥احبك ربى ,1.0
اني احبك في الله,1.0
"""ما بدي غير 10 يعملو لايك للبيج",-1.0
 طول عمرك تخاف من الحب أجل ,-1.0
إنه غير مسلم ويعرف قلبه الوفاء فكيف حال المسلمين اللهم أرزق بنات المسلمين زوجا طيبا محبا مثله ,1.0
 اخ يا غبي ,-1.0
  احذفه لاني بجلس احش فيهم لمين اكفر,-1.0
ربنا يستر واخلاق المتاسلمين لا ترجعه مرة اخرى,1.0
الرائع سيظل رائعا حتى نهاية العمر,1.0
خلق الايثار,1.0
 صرت عاءل أشك أب هل أمر صراحتن,-1.0
يارب طهر قلوبنا,1.0
الحمد لله رب العالمين على عطاه و رضا,1.0
صح علشان كدة منكذبش ونرتاح,1.0
اللهم أبعد عنى شهوات الدنيا وقربنى منك وأغفر لى ولكل المومنين,1.0
,-1.0
 عاهات,-1.0
اللهم اعنا على فعل الخيرات,1.0
والله شوي وتجيني جلطه لما ماطلعت الاولى ذيك المره,-1.0
خمسة مليون يوقعوا علي رفض المفاعل لانة سوف يدمر الاردن لان التقدم ياتي من خلال عدم النهب للمال العام يعني يجب وقف النهب وهذا مشروع فاشل من يومة,-1.0
انت واحد ما بتستا هل الجزمة,-1.0
المفاعل النووي سيحتاج لشريك استراتيجي يمتلكه او جزء كبير منه وستدفع الحكومة الأردنية ثمن الكهرباء لهذا المستثمر لذلك يوجد احتمال كبير ان ترتفع هذه الفاتورة,-1.0
 يا اخوان انتبهوا الى انة اكثر المشتركين المايعين من لبنان او سوريا وهذا حالهم لان تركوا ملة الاسلام وتبعوا الميوع مع الشيطان,-1.0
ممكن يكون احسن بالاخلاص,1.0
وجعلنا من الماء كل شيء حي,1.0
كلام طيب,1.0
اللهم إنى أقسمت عليك بك أن تهدى شباب المسلمين وتنور قلوبهم كما أنعمت على طارق بنعمة اﻹسﻻم,1.0
 هذه مشكلة الذي يغني كثيراً في الحمام ويتصور انه اصبح مطرب,-1.0
و ما من دابة في الأرض و لا طائر يطير بجناحيه الأ على الله رزقه,1.0
لست الأفضل و لكن لي أسلوبي سأظل دائماً اتقبل رأي الناقد و الحاسد ,1.0
 السادس الراء رايحه,-1.0
فى ناس كتيرربنااكرمهابنعمة الاسلام ولكنهالاتدرك قيمتها,1.0
 استخفف التحكيم,-1.0
اطالب برحيل هذه الحكومة,-1.0
قصة حقيقية رائعة فيها عبرة لكل زوج وزوجة فيها المودة والرحمة ,1.0
من يتقي الله يجعل له مخرجا,1.0
 يتسابقوووووووون إلى جهــنم ..,-1.0
رائع,1.0
"للأسف البعض يعتقد ان المفاعل النووي سيحل مشاكلنا الاقتصادية و لكن الأردن لا يمتلك موارد مالية و هذا يعني الحاجة لشريك أجنبي ""كما اعلنت هيئة الطاقة"" يملك غالبية الأسهم كما في تركيا على سبيل المثال وذلك يعني ان هذا الشريك سيمتلك الجزء الأكبر من المفاعل ولن يكون ملك للأردن وبالتالي ستقوم الحكومة ايضاً بدفع تكاليف الكهرباء للمستثمر وبالتالي المفاعل النووي لن يوفر لك الكهرباء بسعر قليل",-1.0
بعرف بس مو حلو,-1.0
اللهم ارزقنا كما ترزق البغاث تسلميلي هنوده حلوه كثير الله يفتح عليكي و يهدينا و اياكي,1.0
الله يتئبل صلاتنا,1.0
يمكن امركا والصين الي بتحكي عنها مساحتها قد الأردن بمية مرة يعني لو صار تسرب نووي او اي مشكلة بتنحل اما الأردن اي مشكلة بتاثر على البلد كلها بعدين احنا حكومتنا خلصة كل أنواع التطور و ضايل عليها بس تعمل برنامج نووي و بتصير زي امريكا و بجوز يعطوها حق النقض,-1.0
اشهد الله اني احبك فى الله و ادعوا ان نحشر مع حبيبنا و امامنا محمد صلى الله عليه و سلم فى الجنة امين,1.0
الله يكتر من امثالك يارب,1.0
قصه جميله ودايما انا بحب اسمع البرنامج,1.0
المرة الجاية راح يكون الرفع للميه اذا استمر الخلط,-1.0
"الوحيد الذي لايتركني ولو لحظه""",-1.0
لا تقنتوا من رحمه الله فهي وسعت كل شيء مهما عصينا فلنا رب كبير رحيم ورحمن,1.0
يا رب نستغفرك ونتوب اليك,1.0
يجب وضع كل من تسول له نفسة مجرد ان يعمل اي تصرف لا يليق بالاردن ان يسجن و يسجن شىء مخزي شوية همل و زعران يخربوا الجامعات و سمعة البلد ,-1.0
والله ذا الادمي معاق,-1.0
قولى يارب .. ثم توكلى عليه انه نعم المولى و نعم الوكيل.و احتسبى عنده ما تظنين انك لا تقدرين عليه ,1.0
اقترح تحويلهم الى طبيب نفسي و ليس الى القضاء,-1.0
 سوبر سطار ولا بلاش,-1.0
ولكن كيف ان المفاعل النووي غير مضر بالبيئة فهمني ؟؟,-1.0
قول يارب ادعي كتير انك تكره هذه المعصيه وربنا كريم,1.0
الله يثبته يا رب ويثبتنا احنا كمان ,1.0
 قمة التخلف والانحطاط,-1.0
احمدك ربى على كل ما اعطيت وعلى كل ما منعت,1.0
يالله ارحم احبتى واشفهم وعافهم واعف عنهم,1.0
 انا انجنيت,-1.0
الحمد لله الذى لا يُحمد على مكره سواه,1.0
 سخافه,-1.0
يا سلام على الوفاء,1.0
سبحان يهدي من يشاء ﻻإله إﻻالله محمدرسول الله,1.0
يارب ثبتنا بعد اخذ القرار لان هو ده الاهم و الاصعب,1.0
ما احلى الوجود بقرب الله,1.0
الموت مع الناس رحمه..,1.0
والمصحف عاهاااااات,-1.0
 اول واحد ذكرنى بصاحب اسمه قردة,-1.0
 من جد سوبر أبقار,-1.0
الله اكبر ولله الحمد مصر بخير فيها ناس كتير طيبين ,1.0
حسبي الله و نعم الوكيل في كل ظالم و مفتري و الله يعين الشعب,-1.0
 الجيل الي هيحرر فلسطين شوفه في سوريا يقاتل العلويين الكلاب لكن ربي يعلمهم فنون القتال ويربيهم،،,-1.0
 واثق من نفسه الحبيب ,-1.0
تركنا كل شئ من اجل رضا الله اللهم ارضى عنا,1.0
عنجد بخزي شو هاد على حساب ازياء طلع باله,-1.0
بعدك ماشفت اشي,-1.0
الله يزيدك من العلم ما تنتفع به الامه,1.0
الوفاء اصبح شئ نادر يكاد يكون معدوم,1.0
الاسلام هو حسن الخلق ألا تعرف بأن الحبيب صلى الله عليه و سلم لقب أمينا قبل نزول الوحي ,1.0
لا اله الا الله محمد رسول الله,1.0
احنا ما بدنا اياه لانا ما منفهم المفاعل النووي فوق طاقتنا صعب علينا و بكرة بذكركم و سألوا الباص السريع الثقة معدومة ... القمح فاسد المصفاه مش حسب المواصفات الخضار و الفواكه مواد كيماوية شوارع مش مصانة حفر و مطبات ....الخ الافضل استغلال الطاقة الشمسية او الريح او الماء.. ليس هروب من التطور و انما الابتعاد عن الفشل الأكيد عبر التجارب .,-1.0
كلام جميل ,1.0
 حكي فاضي,-1.0
 جد اشي بخزي!!,-1.0
الله يكثر الافراح,1.0
اللهم لا تجعل لحب الدنيا سلطانا على قلبي بل اجعل حبك في قلبي سلطانا,1.0
تفائلوا بالخير تجدوه,1.0
خلتنى ابتسم رغم انى مكتئبة جدا ,1.0
يا رب إجعلنا من الصالحين,1.0
صباح الخير و التفكر ,1.0
 مجانين العرب,-1.0
 سخافه بكل ماتحوي الكلمه من معنى,-1.0
 عاهاتك يا وطنعاهاتك يا وطن,-1.0
بصمات راقية لأديب الدعوة محمد الغزالي ,1.0
هاي اخلاق خليلنا الحبيب,1.0
اما في الدين فتصير اخوة في الله وهي ارقى العلاقات الانسانية...بصحيح الحديث (رب اخ لم تلده امك),1.0
نار جهنم تاخدو,-1.0
و الله و بالنهاية يكونو رائعون,1.0
و الله احلا شيء انه الواحد يهاجر او يشتغل حرامي عشان يقدر يعيش الله لا يوفق الي كان السبب و الله حرام,-1.0
ربي ينعم علينا بنعمة الخشوع ,1.0
هعهعهع مش حلو,-1.0
 العرق كل شوي يزييد,-1.0
ما اثقل دمك و ما اغباك,-1.0
الله يا ريت كنا في ذاك الزمن,1.0
اللهم أصلح شأنى,
يااخى عيب عليك لما تعمل مقارنه بين المصحف والحاجه دى وبعدين مين الملحد اللى انته تعرفه ده يا د يا نصر,-1.0
اسعد الله صباحكم علامتنا بالخيرات,1.0
اللهم ارزقنا الصدق و الاخلاص,1.0
خت قرار كتير وبرجع تاني بحاول اتغير ومش عرفة,1.0
سوبر طقاع .........﻿ اول واحد جايته زبيريه ,-1.0
الا لعنة الله على الشيعة الى يوم الدين,-1.0
 والله كذب من سوبر ستار القذر هذاا,-1.0
اللهم ارزقنا زوجا صالحا محبا مثل,1.0
اكيد ماحدا بيقدر.. يارب اعن الفقراء واعنا ع مساعدتهم,1.0
"""",-1.0
نعم فى البدايه كلهم اروع من الروعة,1.0
#احسنوا الظن ,1.0
صبأحكم امل مشرق و عطا متجدد كمأ شروق الشمس,1.0
الى جهنم وبئس المصير,-1.0
"للأسف البعض يعتقد ان المفاعل النووي سيحل مشاكلنا الاقتصادية ولكن الأردن لا يمتلك موارد مالية وهذا يعني الحاجة لشريك أجنبي ""كما اعلنت هيئة الطاقة"" يملك غالبية الأسهم كما في تركيا على سبيل المثال وذلك يعني ان هذا الشريك سيمتلك الجزء الأكبر من المفاعل ولن يكون ملك للأردن وبالتالي ستقوم الحكومة ايضاً بدفع تكاليف الكهرباء للمستثمر وبالتالي المفاعل النووي لن يوفر لك الكهرباء بسعر قليل",-1.0
يارب أنت المستعان فأعنا واهدنا يارب الكون أجمع استجب,1.0
 الحل الوحيد هو القرب من الله وذكره  (الا بذكر الله تطمئن القلوب )قال الله تعالى,1.0
 وين القناه التافة الى تعرض هذول المعاتية صحيح نحن في انحطاط,-1.0
الهم اجعلنا اخوة في الله واحشرنا مع الصديقين والشهداء والصالحين ,1.0
انا دايما فرحان و مش سائل بالدنيا و الحمد لله,1.0
ازعج شي الكذب,1.0
 صوتها عجييييييب,-1.0
 هذا صدق ولا مجنون ولا يستهبل وش القصة,-1.0
 كدا عيييييييييييييييييييييب أودني راحت فيها,-1.0
ربنا يقوينا ويقدرنا,1.0
 اللهم عفوك و رضاك و الجنه ,1.0
خليه يرفع لكن اللي عنده وطنيه و انتماء يصف سيارته بالشارع و يروح على الشغل مشي,-1.0
اللهم ثبتنا بالقول الثابت في الحياة الدنيا وفي الاخرة,1.0
يارب توب علينا وساعدنا نتوب وبصرنا بعيوبنا لان ساعات كتير بننسه,1.0
 كأنهم خرفان العيد عند المسلخ,-1.0
واحد هامل ,-1.0
الله يوفقنا لصداقة امثالهم,1.0
أسأل الله أن يرزقني من يدعو لي في ظهر الغيب ,1.0
سبحان الله قادر على كل شىء,1.0
انا معك بان دين الاسلام لكل الناس وفي كل زمان ومكان,1.0
عمل السريرة هو العمل الخالص لله اللهم ارزقنا عمل السريرة,1.0
 برنامج ساقط,-1.0
انت عنجد بنت فاشلة,-1.0
للبرنامج التافه الي يسمح لهذا الشي,-1.0
فاظفر بذات الدين تربت يداك,1.0
نهارك طيب و مبروك,1.0
حقا,1.0
حينما ننجح فى الانتصار على انفسنا,1.0
انا اخدت قرار وبعدت عن معصيه لله وقدرت وربي وفقني,1.0
سنبقى نذكر دولة الشهيد وصفي التل الذي كان رئيسا للوزراء و حبيبآ للفقراء,-1.0
ولا تنسو تبسمك في وجه اخيك صدقه,1.0
اللهم يا محول الاحوال حول حالى إن أحسن حال ,1.0
 ناس تبي تتمصخر ماتدري شلون,-1.0
 وش فيك معصب !! خلاص بعطيك اللأيك الي جاني خخخ ,-1.0
تحياتي ياشيخ,1.0
ما في احلى من انه الواحد يوكل وينام,1.0
 والله عيب بهدلتو حالكم ,-1.0
"""ههههههههههههههههه هدول مجانين ... اكيد ما بوافق مش هبلة انا",-1.0
 تغني وهي متقرفة,-1.0
حقيقى لازم نجمد قلبنا عن اى حاجة غلط,1.0
ابتعد عن التشاؤم وعيش يومك بالتفاؤل لغد احلى,1.0
صباح الخيرات والعبادات,1.0
 يعني هي ما راح تعتزر,-1.0
 يا دم امك الرخم ,-1.0
يا رب ارزقنا الفرح والسعادة ,1.0
يا رب ما لنا سواك,1.0
 بيخزي,-1.0
يعني لو عايزين يبعوه بلغوني من القرف هاض يع يع يع ,-1.0
 جهنم وبأس المصير,-1.0
صح فالابتسامه تصنع السعاده,1.0
يا الله عالمواساه يرحم ايام زمان,1.0
البيت اللي فيه فرح و سعادة دايما بكون متفائل و سعيد بحاضره و مستقبله,1.0
صباح الود,1.0
صباحات الانوار ,1.0
يا سلام ما أحلى أن يواسي المسلم أخاه  هذه هي أخلاق الإسلام التي أصبحنا نفتقدها يوماً بعد يوم,1.0
"اصلا هدا يمسى مرض الرهاب الاجتماعي,, خجل رجفة",-1.0
اللهم ما اعنا على التغير,
الراجل الابس ثوب عليه جاكيت شكله مسطول من جنوب السودان ,-1.0
صباح النور و السرور ,1.0
اللهم اهدنا لكل عمل يقربنا اللى حبك,1.0
فاهجر تجد عوضا عما تفارقه,1.0
يجب على كل مسلم الإعتزاز بدينه في جميع الأمور صغيرها و كبيرها,1.0
 يا اخي اطلع في صورتك بالمراية وشوف ادائك هوة اداء فني+صوت مناسب قبل لا تفضح حالك في هيك برامج تافهة,-1.0
 اكاديمي اللي خلفت عاهات للفن المعاق حاليا فيزيدون الطين بله,-1.0
 المرأة تهان وتعامل كأداة جنسية تحت مسميات عديدة كالمسيار والمسفار والمصياف... إلخ وكلو بتمنو,-1.0
صدقت و الله يا شيخ,1.0
 يلعن اوم السخاافه,-1.0
أكيد جزاك الله خيرا,1.0
"يا غبي كوادر الإخوان المسلمين في كل يقعة من هالأرض ,, وهمه من الشعب ,,, كيف بدهم يضربوا أرضهم ,,, إصحى !!",-1.0
الله اكبر ولله الحمد,1.0
نرجو من الله أن يتقبل صلاتنا رغم ما تمر به بلدنا من أزمة صار الواحد خايف على نفسه و مستعجل بصلاته و أنا كلما صليت اعتبرها صلاة مودع فيخشع قلبي و تدمع عيناي,1.0
اللهم أنزع من قلبى حب كل شىء لا تحبه,1.0
يارب يقوينا جميعا على طاعته وحسن عبادته ,1.0
 يا خسارة عليكو يا شباب المستقبل ,-1.0
نفع الله بك يا دكتور,1.0
اللهم أغفر لى و لأمة المسلمين أجمعين,1.0
 سخافات وتخلف شباب وصبايا هل الأيام !!!,-1.0
ما اجمل الاخاء,1.0
 انت ما شفت النسخة الاوروبية والامريكية والماليزية من نفس البرنامج فيها بلاوي اكثر من كذا بس حنا العرب فينا عقدة النقص والتخلف,-1.0
 بيه الزناخه,-1.0
لا تحزن الدنيا ما فيها اشي تحزن عليه,1.0
خرى عليك,-1.0
نفسي يوم اكل وانا مش مستعجلة,1.0
الله على دينا العظيم,1.0
الله على الكلام  يا رب أعينا,1.0
ربنا المستعان ادعولنا ارجوكم,1.0
اللهم اجعل سريرتي خير من على نيتي و اجعل على نيتي صالحة,1.0
اكيد لو فى كده الدنيا,1.0
انتخب مين يا عم  هى  ناقصة لبخة فى الكلام  معتش الا الاهبل ده كمان يبقى رئيس جمهورية,-1.0
ايه راحه فيها المسكين ياحرام,-1.0
نعم احسنت ، واجبة على كل مسلم وحق لكل مسلم.. فتح الله عليكم,1.0
وادم علينا يارب نعمة الامن والامان وسائر بلاد المسلمين,-1.0
يا طيبة الخير جينا,1.0
الله يعطيك الصحه و العافيه  ,1.0
 سخيفة,-1.0
قرف يقرفك,-1.0
 تقول داخله فيها ترله انحولت مع الاغنيه ,-1.0
 من الي ضاحك عليهم انو اصواتهم حلوة,-1.0
 ودي اكسر الابتوب على راسه ..,-1.0
و إذا فادنا بشي رح يكون في خسارة كبيرة بالاخر,-1.0
مش عارف لية بيتحوله و هما الى دواره عليك وكان نفسهم تكون معاهم فى الأول,1.0
اللهم اجعلنا ممن يتمتعون بروح و ريحان,1.0
""" شو نوع الحشيش ؟؟",-1.0
"الله لا يعطي العافيه ولا الصحه للاخوان المفلسين , الله لا يوفقهم ولا يجمعهم الاخونجيه هم وعيالهم على صحن طبيخ , الله يجعل السرطان يمشي بجسم الاخوان المفلسين مطايا وكلاب الفرس",-1.0
ليش ما نتعلم من الي صار في اليابان، وروسيا، ألمانيا ألغت نظرتها في بناء مفاعلات نووية و استخدام الطاقة البديلة.,-1.0
 شو هل الاهبل,-1.0
الحب بين الزوجين أوسع أبواب السعادة,1.0
احقر من هيك خيانة ما في,-1.0
ناس عزيزة و المعزة لهم غير ... فيهم صفات الصالحين العلية,1.0
 أحلى تخلف,-1.0
 والله شويه عبط الي بيغنو والحكام كمان,-1.0
ما شاء الله جميله جدا,1.0
 الله اكبر شو هيدا اكل الرجال,-1.0
يا عالي بلا درج,1.0
اللهم ثبته على دين الاسلام اللهم يا مقلب القلوب ثبت قلبي على دينك,1.0
 عذبت ام العود,-1.0
يا عطاء. يامنان يا اكرم الاكرمين,1.0
 سوبر حمار,-1.0
وكل منهو دنا منك,1.0
سبحان الله و بحمده عدد خلقه و رضى نفسه و زنة عرشه و مداد كلماته,1.0
الله لا يحرم حدا من العائلة الدافية والذرية الصالحة,1.0
اللهم أعنا على تقواك,1.0
احسن من هيك رئيس وزراء ما في ,-1.0
 ما يستحون و هم جايين لو انا منهم اروح اقشر بصل ,-1.0
و بحب الناس الرايقه الي بتضحك على طول,1.0
المشكله احنا امه لا تتعلم من غيرها تسريب المفاعل الياباني و الكثير الكثير ا.. احدى الدول الاوروبيه اعلنت باستبدال المفاعلات النوويه بطاقه البديه و الغريب انه بنفس اليوم اعلنت السعوديه بانشاء مفاعلات نوويه (سلميه) لا ذكر اسم الدوله الاوروبيه اعتقد المانيا ..انني اقسم بالله العظيم انني افضل النوم بكير و استغني عن الكهرباء كليا اذا كانت بمفاعل نووي على الاراضي الاردنيه,-1.0
ربنا يعيننا علي نفسنا,1.0
 مين بشار العاهة هاد الي بهدد، اي عند الجد والله للنساء والبنات تتطلعن قبل الرجال في هالحالة ونلعن ابو الساعة اللي طلعت بشار وغيره شو هالحكي، الاردن قوي بجيشة وقائده فعلاا هززلت قال سوريا قال ولا النعامة او رقبة عالية بدهها قص,-1.0
 ما عندهم هو قلة احترام للمشتركين وفلة ادب تجاه المشاهدين ,-1.0
صباح ملؤه الحب و العرفان,1.0
حلوه اوى,1.0
طريق واحد عدم اليئس هو طريق النجاح,1.0
البسمه سر من اسرار الحياة,1.0
و مفيش احلى من قضاء ربنا,1.0
الحمد الله علشان نرتاح من جميلة الدعم,-1.0
كلام حلو ومشجع ,1.0
اتقوا الله فينا بكفي رفع اسعار و الرواتب بالحضيض,-1.0
الكرامة فوق كل شيء,1.0
و طمّأنينَه صباح ٱلآملَ بًٱللِه و ٱلثِقةً,1.0
 وانا مع انو الطاقة الشمسية هي البديل!,-1.0
  لا لا لا شي مو طبيعي,-1.0
 ثقيلين دم كثير,-1.0
,-1.0
ربنا يبارك فيك,1.0
